118201 ENGR14009|金工实习（Ⅳ）
118202 ENGR14100|电子实习（Ⅰ）
118004 ENGR14102|电子实习（Ⅱ）
000030 ENLS10021|学术英语听解与笔记
218284 ENVR10000|新生研讨课
218286 ENVR20200|普通生物学
218290 ENVR30140|空气污染气象学
218291 ENVR30150|环境化学
218300 ENVR30260|环境毒理学
218302 ENVR30910|水文与水资源学（双语）
218303 ENVR30921|工程经济学
218306 ENVR31010|环境工程微生物学
218307 ENVR31020|环境工程原理
218308 ENVR31030|生物化学
218309 ENVR31110|排水管网与泵站
218310 ENVR31133|环境监测
218311 ENVR31220|城市生态学
218312 ENVR31233|生态环境监测与风险评价
218313 ENVR32211|环境生态工程创新实践
218315 ENVR35110|泵与泵站课程设计
218316 ENVR35120|排水管网课程设计
218317 ENVR35233|生态环境监测与风险评价综合设计
218319 ENVR40133|环境评价
218320 ENVR40135|环境工程施工
218323 ENVR40166|污染治理工程问题研讨
218324 ENVR40175|污染治理设施运行与管理
218325 ENVR40178|建设项目环境管理研讨
218330 ENVR40250|生物多样性评价与保护
218331 ENVR40911|给水工程
218332 ENVR40915|环境工程设计方法
218333 ENVR40926|环境前沿问题研讨（双语）
218338 ENVR41113|物理性污染控制工程
218340 ENVR42010|环境工程综合实验
218343 ENVR45010|水污染控制工程课程设计（工业废水）
218344 ENVR45020|水污染控制工程课程设计（城市污水）
218347 ENVR45113|物理性污染控制工程课程设计
218348 ENVR45133|环境监测与评价综合设计
248205 ENVS30003|环境生态学
248206 ENVS30005|环境微生物学
000327 ENVS30012|流体力学及水力学
248208 ENVS30013|环境化学
248209 ENVS30014|环境生物学
248211 ENVS30017|环境经济学
248212 ENVS30019|环境专业外语
248222 ENVS31004|环境监测
248225 ENVS31201|生态毒理学及实验
248228 ENVS34020|环境监测实习
248231 ENVS40008|环境系统分析
248232 ENVS40009|环境影响评价
248233 ENVS40105|土壤污染修复技术
248235 ENVS40303|环境规划学
248237 ENVS40305|环境风险评价
248238 ENVS44023|生产实习（Ⅱ）
248239 ENVS45024|环境影响评价课程设计
040000 ENWR10011|英语批判性阅读与写作
148201 EP10000|新生研讨课
148001 EP16000|听取专业报告
148203 EP20001|工程热力学
000081 EP20004|流体力学 （II）
148207 EP22001|热工实验（I）
148209 EP24001|仿真实习
148210 EP24002|专业实习
148002 EP26001|项目设计（科技创新）
148212 EP30003|传热学（Ⅰ）
000485 EP30009|热工学
000110 EP30030|热力学基础
